Well,Omit,Sample,Target,Replicates,EndogenousPair,Task,Call,Consolidated Target Call,Cq,Cq Conf,Amp Score,Delta Rn
A1,FALSE,Treatment1,EndogenousPair,1,EndogenCon1,UNKNOWN,Presence,Presence,30.9803596,0.812374963,1.427784562,3.181323915
A1,FALSE,Treatment1,GOI1,1,EndogenCon1,UNKNOWN,Presence,Presence,28.14772369,0.779877845,1.393222791,3.914465138
A2,FALSE,NTC,EndogenousPair,1,EndogenCon1,UNKNOWN,Absence,Absence,NaN,0,0,-0.016159627
A2,FALSE,NTC,GOI1,1,EndogenCon1,UNKNOWN,Absence,Absence,NaN,0,0.864598144,0.058431588
A3,FALSE,DMSO,EndogenousPair,1,EndogenCon1,UNKNOWN,Presence,Presence,29.96189578,0.826583684,1.424102282,3.396416262
A3,FALSE,DMSO,GOI1,1,EndogenCon1,UNKNOWN,Presence,Presence,27.67345864,0.773273103,1.381648708,4.221147552
B1,FALSE,Treatment1,EndogenousPair,2,EndogenCon1,UNKNOWN,Presence,Presence,30.998861,0.82166745,1.445139456,3.203633528
B1,FALSE,Treatment1,GOI1,2,EndogenCon1,UNKNOWN,Presence,Presence,28.16565716,0.784786516,0.875050587,3.924922792
B3,FALSE,DMSO,EndogenousPair,2,EndogenCon1,UNKNOWN,Presence,Presence,29.93679852,0.821296201,1.427861079,3.393780465
B3,FALSE,DMSO,GOI1,2,EndogenCon1,UNKNOWN,Presence,Presence,27.68518043,0.827965722,1.375095315,3.888947839
C1,FALSE,Treatment1,GOI2,1,EndogenCon1,UNKNOWN,Presence,Presence,27.45628888,0.952419518,1.546744034,6.404905294
C1,FALSE,Treatment1,EndogenousPair,1,EndogenCon1,UNKNOWN,Presence,Presence,29.4634845,0.853225998,1.500059581,4.049382473
C2,FALSE,NTC,GOI2,1,EndogenCon1,UNKNOWN,Absence,Absence,NaN,0,0.839159529,0.070659668
C2,FALSE,NTC,EndogenousPair,1,EndogenCon1,UNKNOWN,Absence,Absence,NaN,0,0,-0.009671493
C3,FALSE,DMSO,GOI2,1,EndogenCon1,UNKNOWN,Presence,Presence,26.97559859,0.956043986,1.534415506,6.54277179
C3,FALSE,DMSO,EndogenousPair,1,EndogenCon1,UNKNOWN,Presence,Presence,28.55372263,0.856891158,1.497241566,4.090623017
